赛道,公司,类型,股票代码或轮次,总部,与赛道的关联(一句话、具体到什么产品/环节),来源URL,来源日期
具身智能,上海傅利叶智能科技有限公司(傅利叶Fourier),独角兽,E3轮(2025年 投前估值80亿元),上海,康复机器人起家的GRx系列人形机器人整机(GR-3主打交互陪伴) E系列融资合计近8亿元、上市公司润阳科技3亿元参与E3轮,https://www.cls.cn/detail/2042476,2025-05
具身智能,苏州绿的谐波传动科技股份有限公司,A股,688017,江苏苏州,谐波减速器国内头部企业(人形机器人旋转关节核心部件) 预计2025年归母净利润同比增超1倍,https://view.inews.qq.com/a/20260211A028TU00,2026-02
具身智能,浙江三花智能控制股份有限公司,A股,002050,浙江杭州,将仿生机器人机电执行器(关节总成)列为第三增长曲线 2024年1月公告投资不低于38亿元建设机器人执行器等零部件生产基地,https://www.jiemian.com/article/12326742.html,2025-02
具身智能,宁波拓普集团股份有限公司,A股,601689,浙江宁波,机器人执行器平台化布局(直线/旋转执行器、灵巧手电机、躯体结构件等) 2025年机器人执行器业务营收1359.12万元并与全球多家头部机器人厂商项目合作,http://news.10jqka.com.cn/field/20260601/677119191.shtml,2026-06
具身智能,深圳市汇川技术股份有限公司,A股,300124,广东深圳,伺服与运动控制龙头切入人形机器人核心零部件 2025年9月工博会正式展出七自由度仿生臂、行星关节执行器、直线执行器、无框力矩电机、行星滚柱丝杠,https://c.m.163.com/news/a/KE14OUST05568W0A.html,2025-11
具身智能,深圳市兆威机电股份有限公司,A股,003021,广东深圳,微型传动龙头做机器人灵巧手 推出20自由度直线电机直驱灵巧手(整手仅600g、指尖压力15N),https://m.gmw.cn/2026-01/08/content_1304295543.htm,2026-01
具身智能,奥比中光科技集团股份有限公司,A股,688322,广东深圳,3D视觉传感器("机器人之眼") 国内服务机器人3D传感器市占率超七成、2025年营收9.41亿元同比+66.66%,https://finance.sina.cn/stock/ssgs/2026-07-03/detail-inifpusq5593056.d.html,2026-07
脑机接口,博睿康科技(常州)股份有限公司,独角兽(科创板IPO已受理),IPO申报中(拟募资25亿元),江苏常州,植入式脑机接口系统NeuSen NEO于2026年3月获NMPA三类注册证 为全球首个获批上市的侵入式脑机接口医疗器械,https://www.cls.cn/detail/2397850,2026-06
脑机接口,上海脑虎科技有限公司(NeuroXess),独角兽,A轮,上海,微创侵入式高通量柔性脑机接口(256通道柔性电极) 2025年携手华山医院开展国内首例汉语实时解码临床试验,https://www.cls.cn/detail/2243442,2025-12
脑机接口,浙江强脑科技有限公司(BrainCo),独角兽,Pre-IPO轮(约20亿元 投后估值超13亿美元),浙江杭州,非侵入式脑机接口(智能仿生手等) 已以保密形式向港交所提交IPO申请、有望成脑机接口领域首家上市公司,https://hznews.hangzhou.com.cn/jingji/content/2026-01/13/content_9161461.htm,2026-01
脑机接口,上海阶梯医疗科技有限公司,独角兽,B轮(3.5亿元 2025年2月),上海,植入式脑机接口(神经界面电极与植入式平台系统) 3.5亿元B轮为国内植入式脑机接口行业最大单笔融资,https://finance.sina.com.cn/stock/stockzmt/2025-02-12/doc-inekfnme9314586.shtml,2025-02
脑机接口,创新医疗管理股份有限公司,A股,002173,浙江诸暨,旗下博灵脑机(杭州)研发脑机接口康复产品 赛博灵科AC5上肢运动功能辅助系统2025年四季度上市并实现销售收入,https://wap.eastmoney.com/a/202601123615978580.html,2026-01
脑机接口,三博脑科医院管理集团股份有限公司,A股,301293,北京,神经外科专科医疗集团、脑机接口临床转化平台 2025年6月参与完成全球首例介入式脑机接口辅助人体患肢运动功能修复试验,https://health.ifeng.com/c/8kRzC5WKdAl,2025-06
脑机接口,河南翔宇医疗设备股份有限公司,A股,688626,河南安阳,康复器械龙头自研全链条非侵入式脑机接口设备(两款脑电采集装置已获注册证) 覆盖作业/运动/认知言语/吞咽等康复全场景,http://stock.stockstar.com/RB2026010600035600.shtml,2026-01
脑机接口,上海心玮医疗科技股份有限公司,港股,6609.HK,上海,神经介入器械龙头布局介入式脑机接口 "脑机接口系统"项目入选2025年人工智能医疗器械创新任务揭榜挂帅名单,https://m.jrj.com.cn/madapter/stock/2026/07/14073557784050.shtml,2026-07
脑机接口,北京品驰医疗设备股份有限公司,独角兽(科创板IPO辅导中),IPO辅导(2024年12月完成辅导验收),北京,国产脑起搏器龙头(脑深部电刺激、迷走神经刺激器等植入式神经调控产品) 卡位脑机接口产业链植入式神经调控环节,https://www.news.cn/fortune/20250711/f653a7b3f9014106820deaa3b2959f22/c.html,2025-07
商业航天,蓝箭航天,独角兽,科创板IPO已受理(2025-12 拟募资75亿元),北京,朱雀系列液氧甲烷运载火箭研制商 朱雀三号2025年12月首飞入轨(可重复使用),https://www.caixin.com/2026-01-01/102399417.html,2026-01
商业航天,天兵科技,独角兽,Pre-D轮和D轮合计近25亿元(2025-10),北京,天龙三号大型液体运载火箭(液氧煤油路线)研制商 天龙二号曾创民营液体火箭首飞成功纪录,https://news.pedaily.cn/202510/555633.shtml,2025-10
商业航天,星河动力,独角兽,D轮24亿元(2025-09) 2025-10启动上市辅导,北京,谷神星一号固体火箭(民营发射次数最多)与智神星可回收液体火箭研制商,https://eu.36kr.com/zh/p/3521533784185734,2025-10
商业航天,中科宇航,独角兽,IPO辅导验收(2026-01 中科院力学所孵化),广州,力箭系列中大型运载火箭研制商 力箭一号为国内运力最大固体运载火箭,https://finance.eastmoney.com/a/202601173622535445.html,2026-01
商业航天,星际荣耀,独角兽,D++轮50.37亿元(2026-02 创民营火箭单笔纪录),北京,双曲线系列运载火箭研制商 双曲线三号可回收液氧甲烷火箭计划2026年底首飞,https://news.pedaily.cn/202602/561040.shtml,2026-02
商业航天,银河航天,独角兽,启动A股上市 2026年2月完成新一轮融资,北京,低轨宽带通信卫星批量研制商(卫星互联网卫星制造),https://www.caixin.com/2026-03-31/102429425.html,2026-03
商业航天,长光卫星,独角兽,融资50亿元(2026-07)并重启IPO,长春,吉林一号商业遥感卫星星座的建设与运营主体(全产业链遥感卫星公司),https://www.guancha.cn/economy/2026_07_08_823045.shtml,2026-07
商业航天,垣信卫星,独角兽,新一轮融资50-60亿元(2025-10 投前估值400多亿元),上海,千帆星座(低轨卫星互联网)建设与运营主体 已进入常态化组网发射,https://www.guancha.cn/economy/2025_10_17_793687.shtml,2025-10
商业航天,中国卫星,A股,600118,北京,航天科技集团五院控股的小卫星/微小卫星研制与卫星应用上市平台(宇航制造+卫星应用),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600118&id=12038644,2026-03
商业航天,铖昌科技,A股,001270,杭州,微波毫米波相控阵T/R芯片龙头 星载和地面用卫星互联网T/R芯片全套方案已量产交付,http://yuanchuang.10jqka.com.cn/20260710/c678091574.shtml,2026-07
商业航天,超捷股份,A股,301005,上海,商业火箭箭体结构件制造商(壳段/整流罩/燃料贮箱/发动机阀门) 蓝箭朱雀三号尾段与整流罩核心供应商,http://static.cninfo.com.cn/finalpage/2025-06-25/1223982470.PDF,2025-06
商业航天,铂力特,A股,688333,西安,金属增材制造(3D打印)龙头 深度参与朱雀三号并为蓝箭/东方空间/九州云箭等打印发动机关键零部件,https://www.jiemian.com/article/13715966.html,2025-12
生物制造,华恒生物,上市-上交所科创板,688639.SH,安徽合肥,合成生物平台:厌氧发酵法L-丙氨酸与L-缬氨酸全球市占率第一(中游发酵/下游氨基酸),https://hk.stockstar.com/IG2026050100013102.shtml,2026-05
生物制造,凯赛生物,上市-上交所科创板,688065.SH,上海,生物法长链二元酸年产销破10万吨、生物基聚酰胺龙头(下游生物基材料),http://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688065&id=12168804,2026-04
生物制造,川宁生物,上市-深交所创业板,301301.SZ,新疆伊宁,抗生素中间体(硫氰酸红霉素/6-APA)龙头;合成生物项目投产红没药醇、麦角硫因等原料(中游发酵+下游原料),https://disc.static.szse.cn/disc/disk03/finalpage/2026-03-31/0feb3fe0-25e9-4da0-9ee9-45ff71ec612b.PDF,2026-03
生物制造,华熙生物,上市-上交所科创板,688363.SH,山东济南,合成生物驱动的透明质酸全球龙头、生物活性物平台(下游医美/功能原料),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688363&id=12148106,2026-04
生物制造,梅花生物,上市-上交所主板,600873.SH,河北廊坊,赖氨酸、苏氨酸产能全球第一的大宗氨基酸发酵龙头(中游发酵/下游氨基酸),http://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260421/435bd7e03035482781446d591d78f6f5.PDF,2026-04
生物制造,金丹科技,上市-深交所创业板,300829.SZ,河南周口,乳酸行业龙头;7.5万吨聚乳酸(PLA)生物降解材料项目追加投资(下游生物基材料),https://finance.sina.com.cn/stock/aigc/tzxm/2026-02-13/doc-inhmsqpk2998827.shtml,2026-02
生物制造,蔚蓝生物,上市-上交所主板,603739.SH,山东青岛,工业酶制剂+微生态制剂(上游酶工具环节),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=603739&id=12186469,2026-04
生物制造,嘉必优,上市-上交所科创板,688089.SH,湖北武汉,以合成生物学细胞工厂生产ARA、DHA、燕窝酸等营养素(下游营养原料),https://stock.stockstar.com/RB2026042300051156.shtml,2026-04
生物制造,安琪酵母,上市-上交所主板,600298.SH,湖北宜昌,全球酵母龙头(2025年产量45.6万吨);与微构工场合资建成中国首条万吨级PHA产线(中游发酵/下游材料),https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=600298&id=12041292,2026-03
生物制造,蓝晶微生物(Bluepha),独角兽,B轮系列累计超13亿元(2021-2023),上海,PHA生物可降解材料头部企业;1.5万吨/年PHA产能获中美欧三地认证(上游菌株平台+下游材料),https://www.sohu.com/a/991596019_210667,2026-03
生物制造,弈柯莱生物,独角兽,D轮4.5亿元(2025-07国投聚力独家战投),上海,酶催化与合成生物平台(5万种实体酶库);国内首批实现HMOs、燕窝酸获批上市(上游酶催化+下游高附加值原料),http://finance.sina.com.cn/jjxw/2025-07-30/doc-infifepa8587705.shtml,2025-07
生物制造,微构工场(PhaBuilder),独角兽,A+轮3.59亿元(2023-02中石油昆仑资本领投),北京,清华团队"下一代工业生物技术"(嗜盐菌底盘、免灭菌开放发酵);与安琪合资万吨级PHA产线(上游底盘细胞+下游材料),https://kw.beijing.gov.cn/ztzl/2026zgclt/2026zgcltwdlt/2026zgcltcgfb/202604/t20260402_4572965.html,2026-04
绿色氢能,隆基绿能,上市-上交所主板,601012.SH,陕西西安,子公司隆基氢能为碱性电解槽头部厂商(2025年订单约248MW);注资挪威HydrogenPro(制氢装备),https://m.ofweek.com/hydrogen/2026-01/ART-180824-8420-30679254.html,2026-01
绿色氢能,阳光电源,上市-深交所创业板,300274.SZ,安徽合肥,子公司阳光氢能"碱性+PEM"双路线电解槽2025年订单433.7MW居行业第一;出海阿曼、巴拉圭绿氨项目(制氢装备),https://m.ofweek.com/hydrogen/2026-01/ART-180824-8420-30679254.html,2026-01
绿色氢能,双良节能,上市-上交所主板,600481.SH,江苏江阴,自研5000Nm3/h全球最大单体碱性电解槽;截至2025年9月绿电制氢订单约6.1亿元(制氢装备),https://static.cninfo.com.cn/finalpage/2025-11-01/1224780460.PDF,2025-10
绿色氢能,华电科工(原华电重工),上市-上交所主板,601226.SH,北京,央企制氢装备一体化:自研"华臻"3300Nm3/h碱性槽+"华瀚"PEM槽;签署调兵山风电制氢耦合绿色甲醇8.15亿元合同(制氢装备+项目),https://h2.solarbe.com/news/20251226/50015599.html,2025-12
绿色氢能,三一氢能,未上市-三一集团旗下头部,A轮数亿元(2025-08),湖南长沙,碱性电解槽新锐;2025年1-7月央国企项目中标123MW、入围中石化中天合创48套电解槽项目前三(制氢装备),https://www.nationalee.com/newsinfo/8699571.html,2025-08
绿色氢能,中船派瑞氢能(PERIC),未上市-央企子公司(中船718所),—,河北邯郸,老牌制氢装备商(碱性/PEM电解槽);2025年订单约374MW居行业第3(该数据被香橙会标注"未能核实")(制氢装备),https://m.ofweek.com/hydrogen/2026-01/ART-180824-8420-30679254.html,2026-01
绿色氢能,宝丰能源,上市-上交所主板,600989.SH,宁夏银川,全球最大"绿氢+煤"制烯烃路线:内蒙40万吨/年绿氢耦合项目2025年达产;新建项目规划15万吨/年绿氢(绿氢制备+工业消纳),https://finance.sina.com.cn/wm/2026-05-07/doc-inhxanwy7639425.shtml,2026-05
绿色氢能,中国能建,上市-上交所主板,601868.SH,北京,绿氢氨醇一体化开发商:吉林松原全球最大绿色氢氨醇一体化项目一期2025年12月投产(年产4.5万吨绿氢)(项目开发/EPC),http://www.news.cn/20251216/011e27d6ada943ffb526ee4404f82a4f/c.html,2025-12
绿色氢能,中集安瑞科,上市-港交所,03899.HK,广东深圳,储运加装备稀缺标的:中标松原项目15台储氢球罐;121MPa超高压储氢瓶组及绿氢规模化储输装备下线(储运环节),https://www.wedoany.com/shortnews/72508.html,2025-11
绿色氢能,亿华通,上市-上交所科创板+港交所,688339.SH/02402.HK,北京,"中国氢能燃料电池第一股"(A+H);2025年营收2.62亿元居燃料电池行业第一(应用-燃料电池系统),https://www.cnenergynews.cn/article/4Qa2EqXxbD0,2026-03
绿色氢能,国鸿氢能,上市-港交所,09663.HK,浙江嘉兴,氢燃料电池电堆及系统头部厂商;2025年营收3.00亿元(应用-电堆/系统),https://www.hstong.com/news/detail/26040100131789509,2026-04
绿色氢能,国氢科技,独角兽-国家电投旗下,B轮45亿元(2022-12投后估值130亿元;2025-02启动科创板IPO),北京,央企氢能平台:PEM制氢装备+"氢腾"燃料电池;承建大安风光制绿氢合成氨一体化示范项目(2025-07投产)(制氢+应用全链),https://finance.sina.com.cn/roll/2025-03-01/doc-ineneiwe8604565.shtml,2025-03
新型电池,宁德时代(CATL),A股+港股,300750.SZ/3750.HK,福建宁德,电芯/电池整机全球龙头:2025年动力电池全球市占率39.2%(连续九年第一)、储能电池市占率30.4%(连续五年第一);已发布钠新电池与凝聚态电池,https://www.catl.com/news/9654.html,2026-03
新型电池,国轩高科,A股,002074.SZ,安徽合肥,固态电池:金石全固态电池首条中试线贯通(良品率90%)、已启动2GWh量产线设计;G垣准固态电池能量密度300Wh/kg,https://finance.ifeng.com/c/8mLCRsMCWPS,2025-09
新型电池,赣锋锂业,A股+港股,002460.SZ/1772.HK,江西新余,固态电池+锂资源:半固态电池在东风E70试装车并于赛力斯SF5量产;覆盖氧化物/硫化物/聚合物电解质路线,http://finance.sina.com.cn/stock/t/2025-07-03/doc-infeevpe4709670.shtml,2025-07
新型电池,卫蓝新能源,独角兽,D+轮(2025-09完成;2025-12创业板IPO辅导备案),北京,半固态/固态电芯:360Wh/kg半固态电芯交付蔚来ET7(续航超1000公里);314Ah半固态储能电芯量产并供货海博思创等,https://view.inews.qq.com/a/20251212A05VFY00,2025-12
新型电池,清陶能源,独角兽,已递表港交所(2026-04招股,上市前),江苏昆山,固态/固液混合电池:电池包累计交付超1.68万套搭载智己、名爵等30余款车型;全球最大固液混合电池储能电站(内蒙古乌海)唯一电池供应商,https://www.caixin.com/2026-04-09/102432267.html,2026-04
新型电池,中科海钠,独角兽,B轮(2023-04诚通混改基金领投;2024年完成B+轮),北京,钠离子电池:中科院物理所孵化、国内首家钠电专营企业;建成全球首条GWh级钠电芯产线,四款钠电产品2025年进入量产销售,https://www.hinabattery.com/index.php?id=256,2025-11
新型电池,容百科技,A股,688005.SH,浙江宁波,正极材料:三元正极材料全球销量领先;磷酸锰铁锂规模化量产、钠电正极材料领先布局,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?stockid=688005&id=12080315,2026-04
